City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc,Rain/Inches,Snow
217,Lac-Megantic,CA,2020-04-20 04:26:39,45.58,-70.88,41.0,100,100,10.0,light rain,1.06,0.0
218,Lorengau,PG,2020-04-20 04:26:40,-2.02,147.27,84.49,74,33,6.35,light rain,0.66,0.0
219,Blackpool,GB,2020-04-20 04:24:43,53.82,-3.05,43.0,87,0,5.99,clear sky,0.0,0.0
220,Baruun-Urt,MN,2020-04-20 04:26:40,46.68,113.28,26.13,64,92,15.68,light snow,0.0,0.39
221,Zhangye,CN,2020-04-20 04:26:40,38.93,100.45,54.03,20,93,4.61,overcast clouds,0.0,0.0
222,Saint Simons,US,2020-04-20 04:26:41,31.14,-81.39,69.8,88,20,9.17,few clouds,0.0,0.0
223,Xuddur,SO,2020-04-20 04:26:41,4.12,43.89,75.97,69,100,5.44,light rain,1.72,0.0
224,Jinxiang,CN,2020-04-20 04:26:41,22.86,115.7,84.0,75,30,3.0,scattered clouds,0.0,0.0
225,Moose Factory,CA,2020-04-20 04:26:41,51.26,-80.61,6.8,77,1,6.93,clear sky,0.0,0.0
226,Longyearbyen,SJ,2020-04-20 04:23:15,78.22,15.64,23.0,85,75,29.97,shower rain,0.0,0.0
227,Waingapu,ID,2020-04-20 04:26:42,-9.66,120.26,85.71,62,58,4.74,broken clouds,0.0,0.0
228,College,US,2020-04-20 04:23:22,64.86,-147.8,42.01,93,90,4.7,light rain,0.0,0.0
229,Vostok,RU,2020-04-20 04:26:42,46.49,135.88,47.57,39,100,9.64,overcast clouds,0.0,0.0
230,Usinsk,RU,2020-04-20 04:26:42,65.99,57.53,33.53,96,100,9.73,overcast clouds,0.0,0.0
