City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Mubende,UG,2020-04-16 03:20:22,0.56,31.39,59.76,66,52,1.21
210,Puerto Escondido,MX,2020-04-16 03:20:23,15.85,-97.07,80.46,62,15,3.8
211,Saurimo,AO,2020-04-16 03:20:23,-9.66,20.39,66.99,71,100,3.02
212,Vypolzovo,RU,2020-04-16 03:20:23,57.88,33.7,31.95,89,100,5.77
213,Along,IN,2020-04-16 03:20:23,28.17,94.77,84.87,35,96,0.56
214,Vostok,RU,2020-04-16 03:20:24,46.49,135.88,48.2,36,0,5.3
215,Harstad,NO,2020-04-16 03:20:24,68.8,16.53,32.0,95,96,16.11
216,Popondetta,PG,2020-04-16 03:20:24,-8.75,148.25,86.04,62,95,6.04
217,Agadez,NE,2020-04-16 03:20:24,19.75,10.25,77.5,14,51,3.87
218,Kununurra,AU,2020-04-16 03:20:25,-15.77,128.73,95.0,30,100,5.82
219,Chivay,PE,2020-04-16 03:20:25,-15.64,-71.6,43.18,16,26,3.13
220,Pisco,PE,2020-04-16 03:20:25,-13.7,-76.22,73.4,73,0,3.36
221,Arraial Do Cabo,BR,2020-04-16 03:20:25,-22.97,-42.03,73.4,94,75,8.55
222,Bardiyah,LY,2020-04-16 03:20:26,31.76,25.09,59.61,75,21,20.65
223,Touros,BR,2020-04-16 03:20:26,-5.2,-35.46,75.2,100,75,3.36
224,Poopo,BO,2020-04-16 03:20:26,-18.37,-66.97,45.23,14,0,3.87
225,Nioro,GM,2020-04-16 03:20:26,13.35,-15.75,75.97,26,19,7.54
226,Alta Floresta,BR,2020-04-16 03:20:27,-9.88,-56.09,70.27,91,100,1.99
227,Hambantota,LK,2020-04-16 03:20:27,6.12,81.12,83.05,72,32,4.63
228,Verkhnyaya Toyma,RU,2020-04-16 03:20:27,62.23,45.0,39.11,90,100,14.88
229,Piacabucu,BR,2020-04-16 03:20:27,-10.41,-36.43,78.31,86,27,3.94
230,Takaka,NZ,2020-04-16 03:20:28,-40.85,172.8,62.01,72,74,8.99
231,Lady Frere,ZA,2020-04-16 03:20:28,-31.7,27.23,49.08,53,47,2.33
232,Georgetown,MY,2020-04-16 03:20:28,5.41,100.34,86.0,79,20,3.36
233,Saskylakh,RU,2020-04-16 03:20:29,71.92,114.08,0.01,91,100,6.2
234,Norman Wells,CA,2020-04-16 03:20:29,65.28,-126.83,48.2,36,75,5.82
235,Pevek,RU,2020-04-16 03:20:29,69.7,170.31,12.88,93,100,1.5
236,Kawalu,ID,2020-04-16 03:20:29,-7.38,108.21,86.49,55,3,3.11
237,Ulety,RU,2020-04-16 03:20:30,51.36,112.48,53.47,31,87,5.68
238,East London,ZA,2020-04-16 03:20:30,-33.02,27.91,60.8,82,67,9.17
239,Port Hedland,AU,2020-04-16 03:20:30,-20.32,118.57,98.6,30,71,6.93
240,Maceio,BR,2020-04-16 03:19:16,-9.67,-35.74,78.8,94,75,3.36
241,Novyy Urengoy,RU,2020-04-16 03:20:31,66.08,76.63,14.0,91,0,10.8
242,Nabire,ID,2020-04-16 03:20:31,-3.37,135.48,79.43,82,94,1.68
243,San Rafael,AR,2020-04-16 03:20:31,-34.62,-68.33,65.95,34,99,9.71
244,Saravan,AM,2020-04-16 03:20:31,39.72,45.65,44.6,70,20,11.41
